md5,url,cluster
88131c2a61bf2e23aceb61ba75f33a1a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/8/880966604485968.mp4,1
868c107765ec01caf5542e91b21d4b0e,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/1/1376789687221291.mp4,3
846d68dc79f393617c14a9eea32b9e16,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/7/1370231701312937.mp4,1
b9332cc4079749eda042317bce731bfb,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/0/1241439711231610.mp4,2
3f53e679f9d65cccdcd0118c22192595,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/836999719038290.mp4,1
578acd9ba2b602bd0d3207a14fd0b99e,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/28/2/1198142168497332.mp4,1
da63a77eac73d7dd80df67fe7b525805,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/1/1540262940545961.mp4,1
107a4e308f1a190ef30ee04548d545b2,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/3/1399051101768123.mp4,1
3913f4af00f1298eee678dd4450354cb,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/03/2/2931837687005342.mp4,1
733aa9fa6607b76371766933f26bfdd6,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/2279212735824920.mp4,1
3fd21e33a0442a5f76dd8787a587ec43,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/1560640931626853.mp4,1
cebc5299ce1f743e8c0be5c9de55bcec,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/8/1444951507084428.mp4,1
d7638b5a57be09ab820a9ba07edaecce,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/1/1242840754352431.mp4,1
